Configuration	Term	g	Level (eV)
2p5.4s.(3P*<1>).10d		6	46.1491
2p5.4s.(1P*<1>).7d		6	46.156
2p5.4s.(3P*<1>).11d		6	46.1715
2p5.4s.(3P*<1>).12d		6	46.1903
2p5.3d.(3D*<1>).9s	2[1]*	6	46.1973
2p5.4s.(3P*<1>).13d		6	46.2042
2p5.4s.(3P*<1>).14d		6	46.2162
2p5.4s.(1P*<1>).8d		6	46.2213
2p5.3d.(3D*<1>).10s	2[1]*	6	46.2524
2p5.4s.(1P*<1>).9d		6	46.2679
2p5.3d.(3D*<1>).11s	2[1]*	6	46.2921
2p5.4s.(1P*<1>).10d		6	46.3025
2p5.3d.(3D*<1>).12s	2[1]*	6	46.3215
2p5.4s.(1P*<1>).11d		6	46.325
2p5.3d.(3D*<1>).13s	2[1]*	6	46.3423
2p5.3d.(3D*<1>).14s	2[1]*	6	46.3597
2p5.3d.(3D*<1>).15s	2[1]*	6	46.3701
2p5.3d.(3D*<1>).16s	2[1]*	6	46.3788
2s.(2S).2p6.3s.3p.(3P*)	2P*	6	66.372
2s.(2S).2p6.3s.3p.(1P*)	2P*	6	67.77
2s.2p6.3s.(3S).4p	2P*	6	69.38
2s.2p6.3p.(3P*).4s	2P*	6	72.68
2s.2p6.3p.(1P*).4s	2P*	6	73.32
2s.2p6.3p.(3P*).3d	2P*	6	73.72
2s.2p6.3p.(3P*).5s	2P*	6	73.94
2s.2p6.3p.(3P*).6s	2P*	6	74.39
2s.2p6.(2S).4s.4p.(3P*)	2P*	6	76.73
2s.2p6.(2S).4s.5p.(3P*)	2P*	6	78.07
2s.2p6.(2S).3d.4p.(3P*)	2P*	6	78.93
